2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
1314.4547638492822,1318.728429568628,1332.989995364263,1348.5496448699855,1355.4996654198785,1361.0322876629525,1370.220485621746,1381.10783645648,1382.0746928419703,1378.0578192200974,1378.2243354469535,1377.664514559664,1379.3474101481688,1384.225139246254,1392.9871576581866
1437.2027766498268,1440.9341537089826,1450.4659109583197,1466.5039641154326,1470.2931054448811,1476.93882149715,1473.333026700442,1481.3199427168,1485.7615288823563,1494.5370433484163,1495.7960927977538,1495.3941668565867,1483.6195562931482,1467.3477677535905,1467.9633944586967
1182.9214457037806,1193.0920902623477,1206.7900168777087,1223.0582899100027,1235.8262121591993,1254.547193588346,1253.02085126494,1269.098033175945,1280.0480355349,1300.855568063704,1300.361762583287,1291.8640806498852,1289.172294697982,1282.1698019215198,1291.6792197220768
1187.1109328425237,1193.2137647247894,1207.8107412537329,1222.657521203129,1227.6679004684158,1229.106596212418,1227.8023726493095,1235.008933729972,1238.783546649198,1245.603442055755,1243.3477872672854,1246.4106305351402,1261.9015134752187,1273.5625409868328,1285.819861111111
1449.9247752623105,1469.575375547405,1483.1394467115758,1492.211989691495,1493.6052741948104,1497.9693571943485,1500.2410558776985,1521.2449232987094,1540.12039667932,1571.761540400831,1565.6352939759097,1560.778386972191,1545.6644707033597,1542.411118407908,1548.7823354806114
1603.881136070096,1600.960592252113,1607.0039847206365,1611.7558523015273,1620.5955902502053,1623.4010158185058,1622.6301873954826,1612.2615894906105,1612.2323604345752,1613.2776937108388,1593.8270904345095,1584.34513551934,1589.0054911332368,1603.029247974417,1607.620401002506
1333.2967108086116,1345.5657643366771,1368.139568884391,1372.7096807869068,1398.4903734806924,1410.9442432063113,1443.6815512083176,1430.323688873771,1435.1244238928723,1438.7821325036643,1458.1045983446347,1465.0746590895435,1444.72770206657,1448.5293628958673,1450.3154140983088
1050.7611778503249,1051.8245262530063,1079.8268608892774,1094.038757801631,1106.94305248749,1089.8462354116116,1108.48918293086,1102.9173234385182,1096.1154101934778,1102.9536631766257,1119.7926673236982,1144.1992312239547,1128.624745017635,1148.303774533215,1156.0694444444446
950.9115974444676,948.1570130632194,955.5564448011716,964.2973117236734,999.9949455990676,1010.4652247843876,1029.2902486495518,1036.2211450193672,1035.6178524325094,1046.4341372887588,1027.8745749598909,1040.1692675025113,1020.9648952248816,1014.9337307124724,1020.378787878788
1293.738483573911,1356.252427215105,1360.7970632632278,,1305.2037922254872,1302.1699944780482,1328.6998076521518,1347.5077477512066,1386.9192432068303,1393.9843710336404,1424.1187020670582,1392.5583410174906,1364.1262887357775,1336.5401089289576,1378.611111111111
,,,943.6400999630088,943.792448555054,943.8941902488658,956.389747818243,948.9449647240403,965.2479300365388,991.2080263302972,999.5948351402654,999.061898083818,1004.7801880589952,1011.0589806822768,995.5555555555557
,,,,,,,,,,,,,840.5634120783742,850.0
,,,,,,,,,,,,1556.1571255603135,1570.5872702032873,1568.8333333333333
1176.326432800763,1183.632894409063,1168.9876398760034,1184.2404479551428,1205.14834207356,1228.0759913134248,1231.685937873125,1227.7412414541266,1295.3979239311002,1287.8285840595422,1298.22445656273,1255.8684087537158,1278.385633562546,1278.945362983755,1292.9166666666667
,,,,,,1254.950129584373,1264.5617095871723,1265.131943738661,1255.4296982120525,1268.8768779027398,1272.3378364453968,1295.0959369912132,1288.1230174890215,1306.8333333333333
1268.0297053229858,1260.490105200466,1282.1866779603763,1304.1767837347895,1343.4676004136538,1348.2474081523242,1359.6105124669148,1351.6161798203225,1354.517351938283,1348.3699749240034,1340.0481806728574,1343.4852908029263,1342.2563786719652,1349.169739177308,1322.9777167277168
,,,995.1579107781014,1028.5727498851124,1013.0759625161912,1042.2020618613003,1043.8442604114912,1082.9202355008304,1159.6805265136302,1131.802428752665,1070.62270736543,1038.5612964670422,1073.6707986320894,1135.6944444444443
,,,,,,,,,,,,,999.3121276033476,962.5
