2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
1936.7299100238715,1948.517535804324,1967.965453490485,1983.226585907588,1999.4554020493104,2012.8682595998025,2021.2451082356768,2026.644674906068,2024.551038512592,2019.39166176982,2009.515531241068,1997.556120974025,2000.9572761496745,2008.358593650532,2026.856121069835
1771.8741278973616,1782.2615219102863,1796.3118169739034,1805.150494016456,1815.0851889387773,1820.4593968013137,1827.8067280575945,1830.6496757844848,1833.445907195981,1829.011830773797,1825.072306792724,1823.138377532027,1824.185649005724,1827.3600346843969,1832.3568612111148
1755.347754899031,1773.6562093745565,1796.7046445016465,1807.5269913862169,1811.3790141124373,1825.999812866568,1840.8404519573487,1849.295404875153,1838.5323983478404,1823.6339580050603,1829.751650249867,1834.2720922789697,1846.3855269643789,1855.6510679737305,1867.8867104646176
2165.6980570125243,2177.1303063989462,2188.6161021539,2201.87744132133,2225.537934393613,2242.1390325860384,2261.2844675076094,2261.8802408050174,2261.607420939573,2266.6176737612127,2286.69752434072,2288.186385461816,2273.08635940523,2256.678920938636,2267.2911156096125
1752.943171488242,1764.102355584362,1786.215257575455,1791.645276138653,1804.6736182604463,1806.9682032314256,1805.4109410193976,1808.4142020226288,1800.217453689468,1803.256481661179,1809.5141780238423,1820.011430399137,1822.3723255282096,1820.0051680330755,1838.7158585499928
1330.433766274434,1322.197861189121,1315.808899880879,1310.1506216563398,1324.9165360125896,1342.1071270250468,1344.4997570222456,1354.4088266013252,1347.769579050885,1352.585369426767,1333.5820606670195,1333.5834445263308,1344.2007366667112,1354.4471546099528,1362.0622895622896
1410.987816678462,1414.0377402087097,1417.1155185566956,1431.2259278774056,1438.2244819499654,1429.8650144824594,1433.7156046780974,1441.245092542467,1455.9122881550898,1472.4258285597425,1459.2643466850698,1442.9631309111608,1426.9591842968262,1459.0909516189606,1495.6826923076924
13074.47046682262,13144.499789832864,12647.020873281796,12629.370487189955,12573.866750341447,12519.778469467958,12523.67121223028,12373.584681336002,12794.824817754305,12947.811353420637,13089.6255084159,12898.310458260214,12668.703500050508,12586.831636732422,13130.410774410777
,4026.186259323513,4082.8831737643263,4007.9282483489696,3900.033119386578,3954.2184090501655,3964.721300648336,4047.318005528553,4150.012827109804,4240.424943787736,4344.873680488416,4208.375439040319,4483.50270823033,4484.763218211152,4578.88888888889
1785.870217109961,1810.3162602836544,1810.2163773517127,1833.876775114557,1845.415325560504,1869.7697239487995,1901.4021209496989,1912.1134060491315,1907.3912867599968,1888.208565917826,1862.805875922236,1828.379796304084,1858.3595290676965,1867.2228907572853,1901.509971509972
,,,,,,,,1219.46494369914,1194.1649690390902,1114.8803903404785,1087.5678745415823,1087.751645464635,1156.0556181187524,1188.3333333333333
,,,1802.394097014652,1877.3841186627103,1832.3543220608733,1807.5161414897511,1752.3949110077042,1749.901100876732,1756.058669307973,1779.334827629359,1773.8128979931855,1819.326417222683,1848.9700578354864,1879.1666666666667
,,,,,,,,,,,,,3368.387277881007,3300.0
,,,,,,,,,,,,,,3500.0
,,,,,,,,,,,,,,1250.0
