2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
2155.6285497000363,2164.5536482996063,2180.53753300417,2198.7449948092253,2218.7280198652948,2237.0728570885435,2254.110773875122,2265.623312538249,2270.285501160698,2269.000940656627,2262.9526054240723,2255.992911994827,2257.546983690329,2272.199522258212,2295.0717862194447
1608.6352607753254,1614.9985938807,1622.5345558362317,1630.3520301149554,1641.5301686541866,1649.6656688680944,1662.624316037007,1668.2751360015857,1679.7958430991569,1685.4191950500326,1687.7857371125635,1685.4810449794006,1679.8968100761265,1685.3502743877143,1696.5153931302723
1553.4710330952498,1555.5721446314974,1561.5301626071514,1572.0724691188086,1579.6663785320272,1591.8217098091857,1600.0010959651647,1607.676214820188,1616.888967039074,1613.2455189916411,1610.799889813246,1599.9228475954592,1608.484174401619,1616.4228201184603,1630.087015609046
1237.0557704244125,1241.3167191050932,1250.495235973379,1261.2732240535654,1264.5255915391872,1295.8336143687518,1305.8724814947416,1328.5410695131432,1323.5481910307258,1329.9951287839265,1324.6239795436538,1309.4685893418434,1313.0652518679897,1305.3343613714303,1322.964043619216
1183.9828131257584,1160.3157620403952,1204.4123597394755,1226.7848494956047,1260.4976296071711,1196.8977554379294,1195.5183283312738,1185.8686932900373,1201.5366475870158,1196.5367036205992,1200.1908420444058,1206.7288674542958,1232.7530700698487,1259.594091033824,1269.3313725490195
1752.483161406071,1753.0686527775267,1772.8641134441568,1784.8385370084598,1804.3750185199603,1796.9111917292562,1798.963429833885,1806.820051922416,1829.678898414328,1844.7790676134823,1841.78377654708,1814.4903205274013,1801.5379026050464,1818.4233228543867,1864.6944676700111
1655.612659173003,1643.7467038874242,1659.6811509073111,1657.0345019967997,1669.4463694597637,1695.6270080256,1719.5213432410496,1709.3690698152711,1705.1545059324224,1752.5947307324557,1810.70852078401,1794.7277442413615,1786.325370407655,1777.4195498092351,1814.466414141414
1681.4017858341474,1691.3556575386906,1702.5107396470562,1699.627190778992,1719.5377683516006,1747.7265510099564,1777.137401336748,1774.409672042529,1761.2871042761612,1735.2490612825804,1749.9660856518776,1759.490738617397,1779.7325506258107,1758.5011993020685,1796.6666666666667
1506.8061616536925,1574.8616695659882,1598.8486481846203,1620.943412330013,1595.98173421372,1615.723746408048,1614.5365537138644,1598.717797879922,1561.0256088511144,1546.5133588456863,1564.0159236514737,1601.673463665698,1613.3703500012818,1613.391129785891,1636.5711412770236
1278.9158466611852,1286.9472857513515,1297.494187444915,1315.6669857419524,1339.029295238967,1353.0383231802005,1372.0712441847743,1370.2003440829262,1375.7280890863751,1368.5754368876346,1378.314424046666,1400.5337187508417,1429.276743907397,1442.1530798727983,1429.513888888889
,,,,544.1518531522192,550.5893594433413,527.8382305554885,588.0850760079918,576.9882589140511,593.2824807539862,554.3602912322721,577.4004143735731,619.091460266791,639.90697640431,635.8333333333334
,,,,,,,,,,,1079.704626783739,1085.6176032600451,1067.6892773731904,1089.2222222222222
,,,,,,,,,,,,,,1055.0
