2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
2008.674297976492,2025.9622474139044,2057.480610465236,2112.3550637541257,2136.250046692472,2166.850787329144,2188.7139307861635,2190.1871620794213,2185.0696984050514,2152.872590548284,2143.903016280797,2107.646938972396,2113.744952334192,2120.5343137252216,2184.107375886525
1290.657025176794,1291.3458731712465,1290.1499740704,1317.881627128554,1334.7687629620984,1372.7852595501838,1381.4099149135427,1376.3306859031884,1349.9168474976866,1352.6848989501443,1355.5634171214535,1381.9145611092106,1387.9200402181075,1419.132301377771,1442.5657894736842
1244.5061867653387,1264.5589533246186,1327.6135850670853,1320.8049136396824,1326.6459588329176,1376.4895560152197,1371.611547462525,1380.76074194629,1357.54995243752,1395.5553280741588,1400.2689746996552,1403.354539747348,1393.807045284513,1403.0822392102568,1388.5185185185185
1178.838438920323,1175.1827430044475,1183.3568550144405,1224.3589394154217,1270.411622225815,1284.0437744180867,1260.06155268336,1237.5857030327068,1258.5288830166076,1269.523336560528,1287.7898137480638,1255.5785375568828,1248.9313423297067,1256.972862059058,1280.5555555555557
