2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
2669.671136191588,2669.893555908332,2674.22584571862,2682.368775020174,2693.37932061378,2703.974663295556,2714.403234401171,2720.6051204103965,2727.4292816505363,2737.7124855428287,2743.7432903834297,2737.8021614505574,2734.471252705423,2738.0292155915813,2748.1186255268763
2042.9053656559088,2045.0227814043808,2056.0141261209765,2064.972369097992,2076.0370156531912,2081.532423575655,2093.688282548602,2106.222203872877,2107.0291576493555,2103.6380289146605,2096.0909321447443,2095.3892956851605,2093.30988951295,2094.848466329656,2099.0094408498258
1988.157889566517,1993.167160071716,2005.6984984631813,2016.1020651020183,2027.4216138743443,2035.8468585033856,2041.652117027044,2044.5627068813976,2037.0490539605512,2026.9869014488324,2013.5230938058496,2008.59179279406,2011.7296726229504,2016.5389506831928,2023.827542693077
1704.2865620015573,1703.8651552089934,1708.644215920041,1716.1253105066364,1729.1987554426848,1734.7463750450795,1741.3623906847383,1741.0869686702442,1741.058793578137,1730.6555592078562,1723.4927030990598,1709.9666465022729,1712.6809278632377,1717.7560014558346,1730.729818696512
2440.8724833482506,2427.061570914864,2428.679552317294,2420.7025192541,2411.16422999264,2402.173775304652,2389.3531211601176,2394.4831291688924,2402.380647201765,2421.822964410296,2442.6194267933283,2445.9281104345087,2441.718768448457,2424.004144383417,2419.1712082560293
2238.8449428603312,2236.952797717772,2247.2617885517107,2236.284621766636,2223.726474432985,2216.8240043455044,2211.409178608108,2224.225902740423,2209.18977731359,2212.733919802233,2209.519067372278,2220.735699268319,2210.485027172072,2194.2823842257653,2183.705910664381
1866.4575684903184,1870.2033572299683,1869.2084708528096,1875.8865079405664,1882.9541556393624,1892.292951254387,1897.0560611581493,1908.2349422133648,1901.863001581568,1891.6376258658856,1879.4546339714927,1885.4434012613824,1891.765359213836,1901.2252857731849,1910.046259612916
1854.867536959384,1860.9008289867909,1877.908542902613,1901.0167256927496,1899.3426893856547,1899.7677961708328,1887.369098901607,1904.1572186882345,1896.527815613708,1903.126039744579,1891.6337236883835,1899.138928966961,1897.9262359146687,1896.0156471453784,1902.259504707179
1975.1572912874767,1981.382332422664,1995.673831059663,1999.361330451681,2014.904623202372,2021.052104282662,2032.7209200930672,2038.88767836577,2029.43003793724,2014.663165251819,2001.8617249781928,1997.1716811361848,2004.8665985848047,2009.988446912895,2020.6079150506584
1681.9139233228727,1683.6561703743032,1693.1874691038504,1701.3226123853328,1712.7947799134215,1718.4417974970554,1724.5839303761456,1736.3257517426505,1737.433733085497,1736.1371412016292,1728.3120775744756,1734.8630845643052,1730.7500546516385,1736.581154035156,1738.9441521789347
2328.885289996494,2337.064835016221,2338.863792225626,2327.86979979854,2339.97076457205,2356.5893924225893,2370.701874087522,2398.9179808483427,2411.670457052613,2429.3766567463213,2423.749655757319,2418.228693374152,2409.529738438692,2403.53500074847,2400.2609250221826
1391.3275261464082,1395.8623242271556,1397.261758096425,1410.1302582340554,1416.2047824522183,1426.4926973321008,1432.5286050837308,1432.446681870564,1448.3069775492377,1451.682177257914,1486.2647793352191,1489.3331918086928,1497.725850009243,1485.3397675669137,1485.623741331373
2909.7154517182776,2872.715498918592,2849.5230543194034,2817.032485571452,2781.342996543236,2802.6290353774807,2821.4226280645125,2860.052058682378,2877.124854877179,2963.732138287335,2993.3658291913057,3045.617831731626,2985.011903910169,2954.5302671645127,2869.016148251941
1550.3018228156786,1553.0370378261907,1565.917307302644,1570.569693766998,1586.0327304072057,1584.0461636674904,1582.6841479935238,1558.3288001223311,1564.569432989533,1570.7454614822032,1586.0091079165743,1577.9077919762417,1564.6372994906417,1560.1614783135644,1553.8851471387998
1538.727030115744,1542.9480035875208,1556.025086251274,1567.627557821528,1580.719014831947,1595.233509598594,1607.0965358463536,1605.3747147866295,1604.0401498058106,1593.3752159826938,1594.2860298364,1588.7537040031891,1607.9568053566873,1608.4540593012223,1617.1536191339146
1882.2548910436567,1886.2294942695207,1909.0521088135447,1923.1579151833369,1948.4589863427143,1953.48236093666,1943.756566835058,1935.79631653744,1929.632838543334,1933.555957630184,1918.997951315513,1908.9092000698013,1890.289317876488,1891.4526750303007,1895.5701790265964
2239.426331967183,2222.174358313922,2230.231260914361,2214.9125217492106,2232.907487320566,2211.856856102648,2225.9519392603165,2237.966603484745,2227.3161294149927,2210.1915969568818,2183.766138136835,2177.4920597753,2191.553871803458,2200.965978316854,2233.710472033876
1718.1005934301313,1724.6789655789378,1737.6386857402815,1754.10078679477,1776.3987676305685,1780.8985828387351,1782.3257898936113,1787.8499268440794,1794.151575826114,1795.9935833222612,1800.1103780601677,1781.6729207088367,1765.5203179708387,1736.5541255582514,1752.428282828283
2082.944242529504,2069.954387919636,2109.0600151489225,2061.143333239607,2059.848921666304,2011.73269394566,2054.707344554962,2085.485493359292,2184.8847523278514,2279.35817329866,2324.8683927263,2319.165545820434,2289.9629946696787,2270.113066625005,2263.7619047619046
1544.797699119414,1577.7938028258004,1582.2798528920314,1556.7371574294605,1554.7131644007698,1561.7554935951284,1574.7295444442182,1587.9969294528455,1597.9575270515293,1612.9360866752595,1631.866034254481,1621.1695940552038,1646.99049322758,1627.890913121816,1643.8370726495723
1987.334396349913,1968.2223405861253,1876.746598856095,1903.248122668804,1907.9081681169105,1947.922626208357,1948.992159883616,1971.0207035332128,1990.845770681055,1994.757723888996,2028.983212027321,2067.6298016691003,2117.363331140325,2088.756078396096,2039.3875
1461.7742134449018,1461.658513653882,1461.892478480087,1487.9352396912616,1495.156169116431,1518.0567034658598,1518.7261095677152,1522.4983088272136,1526.7187398437975,1514.7738945443762,1527.0982188639323,1532.277842166972,1537.368107760317,1537.592859844675,1524.739138176638
3661.641680272632,3623.636842136642,3494.844361044102,3424.678085535818,3452.5372839850907,3483.230685817615,3481.5176773819626,3503.891506958348,3544.7434338688454,3690.8078840241255,3656.773670626056,3617.895806030293,3535.7770534573133,3613.915377866734,3678.703703703704
,,,,1141.682252574304,1168.3549901202512,,1252.7139866985276,1269.0949200390778,1241.750669642821,1276.401625924269,1301.254680901463,1367.019073813395,1346.8903148173745,1251.7777777777776
,,,,1229.042007747489,1266.6333126903642,1232.993410816699,1292.7508566926608,,1379.1733948697597,1352.528057062466,1359.3210682873607,1355.945303167314,1423.4615841183756,1433.3333333333333
