RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
395078,15,"Seattle, WA",msa,WA,1362.8880651906036,1371.613026582109,1386.065344767232,1395.381426457309,1411.4365719308528,1425.2035469722275,1442.491047763959,1453.393163111625,1457.2239490340876,1457.022821486991,1447.04119377162,1448.3333166044208,1456.443294918308,1476.112613891666,1487.6987350750524,1504.323295847436,1525.8905583471824,1546.7974092067652,1559.956962254586,1560.8023464177006,1560.926839075581,1553.3614584771706,1543.6629593569864,1536.5700536668755,1553.0306566559543,1577.7745508514952,1610.611084238097,1627.9831955662778,1649.63481046703,1665.978173459893,1678.748814975096,1684.5732269438563,1681.418529994114,1673.6224631976015,1660.3306662143425,1653.6124999810816,1657.8141264438896,1669.7619791967736,1684.9846361437892,1700.5764675645753,1717.4498485595516,1731.7707998302942,1738.4582951927348,1738.51021193552,1732.4486195468985,1722.1815148327123,1717.6441655413098,1716.9393062894185,1725.400242615827,1736.5924279197727,1751.309642340919,1769.1165104412828,1783.5215433845876,1798.9149029730213,1808.2834595917177,1813.6050988686309,1809.8116082921688,1801.6428632390464,1796.961458832705,1800.2030271347094,1813.069618504025,1827.6706259705231,1845.9769006843007,1844.9672114005648,1841.2333601121563,1831.716720057869,1834.7438039196168,1831.7214875444688,1815.78327504064,1789.6455681392076,1762.518938160723,1740.0630565014449,1739.318797924435,1747.9491381753128,1776.048374748529,1805.288475625699,1846.5974897702656,1893.0142736066127,1941.9849856974563,1982.577592288476,2007.7210728067864,2011.71335731326,2009.0563593543536,2004.465692038642,2011.0119351790647,2028.742299978912,2052.977572942427,2080.973485861444,2112.165957851385,2146.240665846005,2171.954473971181,2178.4742543759794,2168.1937867930933,2148.373195157922,2123.586380902225,2104.5117523392605,2096.7809738855963,2103.78452432453,2120.0694438901314,2133.0579410386704,2150.71692691874,2165.100053982708,2180.7957052021734,2188.19685073383,2186.03334222708,2176.9615452716166,2163.325284486849,2156.494461854625,2161.14032731218,2173.9685127214307,2193.73452344798
395113,100,"Spokane, WA",msa,WA,758.2127803528166,765.2782193073316,775.4526194189316,781.5551093395652,785.486132665532,790.7582315514452,793.834541895376,801.1706437643984,797.308122767867,795.3297312350101,795.48441563156,800.0648929741593,807.7900288386039,813.2998876505786,821.2752760710358,827.5427794568707,839.5996912040675,846.08645284099,852.7915464577596,849.9565731478148,855.8418415800821,860.0736804663537,862.5405785798298,863.4782884054677,869.5219305601735,883.7565624238601,889.3578264920798,893.4834293113365,901.350149475496,914.9053201389464,921.9672610879109,924.5245965582131,922.568777731478,926.2188107583275,923.7979479815908,922.132020856371,918.9848928069006,943.286546840274,965.4718184989922,986.1579856900236,987.69291317942,993.9705260376442,1000.4566885252876,1000.8522268125436,998.927449391146,995.7578712108642,995.9663909601492,997.1715686889186,1008.539257720196,1015.2421086275154,1028.1790136521497,1034.3576481699192,1048.78144951685,1060.1288383429444,1073.503436430568,1069.7657049091852,1072.355598897037,1068.3266439818256,1070.2356481602565,1060.96600724228,1063.8443281443697,1074.514645919359,1096.040209512391,1103.7185170814978,1110.7053746111796,1113.3057080808926,1129.1247021734591,1144.85109634945,1160.0713798058598,1163.225847515218,1159.4361757473534,1158.6092951798714,1171.0333374594936,1196.1316062003782,1227.169575335069,1273.129722268303,1329.8957477018623,1386.2906691340436,1422.1810610181851,1436.9161681009202,1433.9050999780131,1416.7749998464187,1397.263715357068,1384.1546329933087,1392.705489241088,1407.5287882637806,1428.4406754895022,1451.594910431509,1475.7359752160455,1492.0286080688634,1499.5157447003555,1503.333760193114,1507.4990612147865,1498.9694722215193,1484.512323926989,1467.5707727095105,1459.8765658114012,1453.7307321304788,1463.162456329579,1473.597060206914,1494.011264067139,1493.98521412258,1498.3464359543011,1498.337866734062,1505.6132588360151,1510.756667354195,1502.980635373888,1501.228684742434,1497.539175886543,1504.1148499876738,1511.3342190016103
394741,168,"Kennewick, WA",msa,WA,972.4113328659388,972.1302236152844,983.6383380329936,992.4699405268884,993.2600935119716,1004.6445339798154,1014.434108976668,1031.2943805417526,1030.0380683690803,1033.34762716845,1025.431961452087,1025.2305201667343,1013.9236922511294,1021.8897133215588,1019.867036507494,1038.3772273791838,1041.7804063016051,1061.3558537314243,1066.6125171684312,1079.929849135714,1079.5232854347887,1076.0471719689206,1070.606148173018,1065.6003570078703,1073.5500819625515,1078.9446860711412,1101.5594503202217,1107.499771366428,1113.5382791619113,1114.022655256828,1111.2758757175905,1116.8744486886308,1116.2124041976,1119.535669291521,1119.2705641188704,1107.23502714572,1107.389321507615,1109.2324909319957,1124.8644559076822,1134.0637290159036,1148.6422944648923,1160.1379419738216,1171.6224167150765,1175.1176105970533,1177.1814182142057,1173.0961593552463,1165.4386623324326,1160.2936706197247,1159.823138631848,1177.375519674648,1187.4385162833244,1196.490296129743,1198.0435908611014,1207.833112851828,1217.096807159458,1222.4386590906254,1227.5711570408043,1230.5757208975378,1225.4266674044572,1221.8977775386074,1219.6282323706605,1231.797675253342,1231.3176914826822,1231.5838459993197,1227.0173484236093,1242.1405566416856,1256.2402231330648,1269.4651097858266,1280.7698740489834,1292.0894508999247,1297.354177446977,1297.4175738070148,1310.563208462419,1316.325125414814,1340.015559884914,1360.6140341428024,1406.4195765341146,1427.2194871925312,1450.8231673289588,1454.9385273975136,1463.8725070456226,1462.1903254949525,1458.544523322546,1461.93810217577,1471.5093318438624,1492.1023538826712,1525.1498724516955,1548.6891161439733,1568.891640052017,1571.8018324427044,1581.4696861729572,1590.749291672986,1583.669142128377,1572.8183999518085,1563.0851708878167,1573.6799341777007,1591.974468359585,1629.627300370658,1651.8096201331866,1659.895368392785,1663.856022461361,1661.7186945841174,1667.974868862406,1659.6466592632178,1668.6890253889728,1676.6248692431286,1676.956511154288,1658.8883137692444,1671.29332158446,1682.117989757838,1699.7338217338215
394937,172,"Olympia, WA",msa,WA,1111.0368625466956,1115.724870781949,1124.68543576482,1133.9594813899114,1139.041052265352,1143.9550611312084,1149.2631085069122,1154.0871101609105,1156.729162042157,1159.284644376701,1159.077495623838,1159.606430553956,1160.374365649449,1158.8199213733712,1171.719744711144,1184.8337758017433,1204.8509911813703,1213.633613737903,1221.2361964130832,1230.4509446054471,1232.8019197316312,1233.7115480422856,1230.00264579131,1235.4303600975843,1245.279908778016,1257.709612830988,1268.6811370007476,1280.964760503971,1298.9119311688755,1312.1403219782758,1318.7616738311535,1318.450002874528,1324.892165223746,1332.5991143057754,1336.7311252638003,1335.766491696127,1338.1507522691554,1344.6773693680382,1361.826309161131,1383.8891546160737,1394.1559363260592,1399.890566662478,1393.9721980639638,1404.1268366957722,1407.922404008047,1417.7910100465697,1414.71450443515,1416.8679974252157,1413.1090507558276,1424.4030664138056,1436.8799678865216,1455.2165141146668,1468.2229190981575,1479.761806706,1488.8842253814576,1496.6423758864594,1497.451050715612,1499.9851553295637,1501.8907349837878,1500.0198108640311,1504.581259997766,1510.457284358999,1535.3590215975355,1545.5062694822782,1554.4306076823866,1553.512308981621,1575.8655916054272,1601.878055072192,1628.805892266517,1636.0185569657044,1645.0263222191509,1634.4583440387162,1648.6242832011255,1663.6303127343783,1701.5233660362571,1724.547997809042,1747.633481491035,1770.081990968567,1794.1301569179336,1826.9858187593647,1847.744296015661,1864.9820097498125,1866.7113997503027,1880.637418989835,1885.0468806981569,1893.276118746612,1907.801791188936,1928.901976672175,1960.4123382685448,1977.216967121335,1993.307033838932,1993.3317750287545,1982.649525554224,1970.1676897751795,1957.2497454627787,1945.8014413430287,1931.9851640747104,1940.850608871164,1962.5468552457853,1986.8955814221788,2004.2490756446923,2014.1488776866229,2025.1889245797631,2028.98965926844,2025.2690984331828,2032.9855906351647,2024.5425066342289,2028.2036224832648,2035.2405202813468,2044.598709321101,2054.616097865046
394412,181,"Bremerton, WA",msa,WA,1044.6390781322607,1056.1530390847631,1073.7505495691682,1085.1186680048288,1087.4073595155276,1092.3575522849032,1101.345011450707,1117.9707131673963,1117.5616999981933,1122.4082388867423,1117.082684468489,1119.3854127986042,1117.1181642617914,1113.6340755596473,1141.7672187774674,1162.240557034704,1201.436730090245,1205.817213525499,1229.4973873628253,1232.8259358808407,1234.2878670662224,1233.7408115196674,1229.1791446883135,1243.2034371121415,1235.6496715122064,1251.7674218905922,1246.022522895363,1264.2888216497777,1279.9092418629723,1305.454558601484,1313.5650770559832,1321.900030458853,1320.5006009100837,1322.1099581200278,1317.7371584875914,1316.284678849804,1331.1883780359433,1338.1249806440264,1356.711712620466,1366.4783403318231,1392.683431931698,1407.6701459135072,1406.790051506984,1396.766457593125,1392.4223138777256,1401.3477186415714,1403.8239619144044,1407.343043218723,1415.466176645224,1436.3958231716465,1456.7955618436804,1473.128797516691,1486.1276557754345,1506.6212023211772,1517.3546124030884,1517.0755047483228,1504.3612355941043,1496.784223392978,1496.2842450580576,1494.9412668831471,1503.7151394110049,1517.8059160049334,1536.073131822499,1535.7495040542742,1524.235207877405,1523.7630684682752,1540.9564054375887,1563.5825119635224,1571.746361188175,1565.9292169749629,1570.9864652273727,1576.2696762338942,1590.3409711186184,1607.7502523808305,1632.7374310110692,1672.4301253165083,1718.8810055584568,1772.95224542577,1821.3355965872383,1857.1593398796067,1873.9174202118788,1876.638676467668,1866.5130381022584,1864.8492378237124,1859.995871361924,1859.086984790024,1869.8588686533265,1880.9820794263003,1909.464095386148,1935.8270638678573,1967.0681504542536,1971.954128917653,1952.974262232724,1919.698815325182,1891.208905308596,1864.6370568835573,1863.443315524314,1857.299284074362,1859.653817692873,1846.388614918832,1867.1758952221487,1901.4262826337977,1935.997840596426,1944.5851870005704,1945.9573325249369,1940.018037253563,1931.6049479810777,1924.100492871289,1919.9844764078496,1929.1231713676927,1949.3798864306327
395240,193,"Yakima, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.3200889357145,1195.4606880803149,1211.6448327088112,1221.6666645029145,1230.956084808573,1246.3140527006908,1260.0166151897042,1254.774514804416,1252.149866226924,1234.022547466176,1220.154473193621,1223.6428146616463,1252.666295123816,1255.3921192757305,1251.7280744545037,1237.1705682407894,1247.6683376834594,1273.1350331904443,1293.938290113244,1310.8738086555095,1328.132891157736,1320.492225145581,1328.1797131600413,1302.8934950854923,1310.445755157056,1296.7567998350455,1297.4877344877343
394378,205,"Bellingham, WA",msa,WA,977.8733223240392,983.829553484632,968.3322826354486,979.8951198181504,987.3187215626972,998.9305442731336,1006.2516053649534,1006.9028662822036,1011.1621841559504,1014.1339984042124,1008.5243559983504,1020.671525732942,1027.4981709171127,1043.8634213136486,1038.8544979115952,1046.004441662658,1047.527366299835,1055.9640090619964,1071.2423164977265,1086.3442033560325,1096.9493086061357,1113.8126914401448,1110.5969942333863,1123.2367476035165,1115.9982635259178,1134.1032311101374,1138.1140551723054,1140.3792154545938,1148.3328035617849,1157.4897114946968,1173.5611795454895,1184.4524819315304,1192.075550170298,1193.8409195048157,1182.6107915924435,1181.7533982533882,1191.623702941161,1221.3194743569468,1235.199188777084,1246.44313234533,1248.4594421470665,1264.5680459198195,1271.915576182748,1277.3212405796376,1283.4342998651211,1287.1673552901086,1300.2651589893508,1297.8120797611073,1306.6429121847411,1313.7631676945775,1333.0623280954378,1341.666958569063,1348.370378419081,1358.3537393624106,1366.1749853219585,1367.595333642301,1360.5372829441174,1355.3951837555728,1354.19227922717,1355.0136184682135,1388.2287988813755,1410.4133074124147,1448.272940999567,1443.3835029452518,1445.121204295439,1431.3734483773617,1439.0529106525,1443.8104612764405,1433.0730991546625,1418.1046072349689,1406.367395244005,1427.1287166641766,1460.867325444195,1495.7969894655105,1519.3492781366867,1533.0372738448375,1555.8043707250702,1568.0936277200442,1580.8139186895123,1598.7061484769442,1616.783834347045,1641.4441094088666,1654.9555483738145,1655.1401308146444,1646.597962559199,1661.568000775564,1693.445291886415,1736.986665172608,1763.1613663503445,1782.4314113708658,1787.3017491786172,1786.033880727082,1775.3831003565108,1774.9590798100985,1787.8271013615126,1797.6493809280687,1806.582590545684,1810.3185461929968,1850.327787640991,1859.6072353127952,1879.0050555945472,1869.7594060966776,1881.1435302759485,1882.532209815815,1885.7353664954724,1885.0287745289304,1895.497387840216,1889.2494954528715,1894.8756603449349,1888.584327878492,1914.6829924960373
394890,327,"Mount Vernon, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366.6236821348273,1395.655152259825,1398.5559053069298,1392.2787403220154,1380.8717398866938,1391.2474040469183,1393.0133145686998,1390.9344307896558,1384.203413614992,1397.292589702923,1428.509005770542,1445.485991172108,1450.2555521011288,1454.2580779914576,1445.9318917514574,1460.0783290808597,1459.0048035298785,1475.2208406104992,1455.2099060391938,1452.305064914278,1452.674668569621,1477.103614180932,1495.6383915766787,1506.6918553629887,1522.8968883904038,1535.6617383504613,1545.7075356867058,1564.0073904563671,1571.790693128645,1585.3426796904396,1585.4717564862444,1577.2084323946842,1580.9299596801611,1587.3977281669622,1635.3186710982654,1667.3390057589193,1702.6668719610957,1710.455649809014,1755.040795343025,1761.3300041094794,1790.266488877476,1806.6551491860832,1831.81710374932,,1890.7885136296304,1915.654872881885,1895.9235240154485,1891.009305494192,1924.3614348861663,1950.2699527171471,1983.4103569252056,1946.468676352092,1935.579900023256,1935.899935646528,1967.747310257383,1956.592604432375,1963.0674754438191,1957.771937684109,1964.6710596489424,1958.59547765198,1992.990732415942,2015.8015276639512,2039.927188006726,2029.0373404854583,2007.40911354645,1978.6024884323176,1982.707037565776,2021.1139569273407,2058.802779172277,2079.032471766493,2062.190476190476
395218,345,"Wenatchee, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397.19135079761,1405.8172045431706,1416.1441047669532,1432.3931754072405,1465.0004957837857,1507.817195340421,1524.322212345554,1545.8439284116794,1552.355684660719,1562.0004056156868,1576.5237179469814,1590.8339491951024,1610.6843089665676,1623.106147897519,1635.9855957333489,1656.5500643326554,1672.9838608150849,1685.9609663498204,1691.977561571244,1670.4044033133732,1660.4856879146507,1657.6043438675242,1686.2710865419183,1687.1170535028248,1675.9146882202906,1670.1609416182537,1661.059047344228,1677.052055565998,1691.4701112617856,1704.9341511003263,1722.3583560950303,1746.053523249685,1733.11025259571,1724.312922245657,1696.6424490027737,1727.8880510036065,1740.5673076923076
394804,368,"Longview, WA",msa,WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.4832848817723,1163.6227901178063,1167.9418202028974,1212.170452008511,1231.0160137568516,1238.9049818421015,1220.1166064630784,1222.7985332137648,1202.1949624770616,1212.2121189973725,1200.3841278863338,1217.0364359741288,1233.3863157282062,1248.406788546025,1246.9128453522314,1280.863207263954,1295.2642505622248,1291.7705080729909,1259.9562322694069,1238.2065201464193,1238.853484138985,1244.1563107010072,1268.6465079856594,1263.1310254495208,1267.9515420636578,1251.1976911976913
