RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31
394429,206,"Burlington, VT",msa,VT,,,,,,,,,,,,,,,,,,,,,,,,,,1360.3346041374405,1362.4692762408383,1346.4201144016054,1344.4020025193952,1336.6523400230487,1358.0537131738015,1366.8137880102774,1378.1492406588177,1361.3162583249928,1359.198231113358,1354.9238351621332,1367.5800850391809,1387.1248775419876,1402.2658954781757,1410.1227673848575,1397.0044721430809,1398.9228448678934,1374.310449771217,1385.8396469902473,1394.2469966441297,1417.6818339360025,1415.9736850194404,1409.0899323731287,1408.9705012715722,1419.5597534839792,1420.0446458198817,1417.8317270893806,1421.105553483789,1440.7692764941653,1447.3470194478157,1449.9708919383388,1453.5214801206696,1470.847115088806,1473.1342463082435,1455.382104305966,1393.5918263761216,1409.326590948223,1428.3654615750588,1485.047397791909,1483.0412542325123,1494.9693192266634,1517.1998829854926,1524.6792300564834,1536.524097479834,1542.7207799057503,1553.8132605222186,1535.635460684096,1529.6722043308728,1517.0965902869189,1538.1373401897438,1547.5684361507438,1573.037847208788,1605.4160303158517,1640.0245188763793,1684.5895827215625,1686.991578380169,1700.5578213921908,1676.8806146678735,1690.6238504461908,1702.5011978575103,1716.941294866162,1728.107398228614,1734.030920170652,1795.602583620307,1831.8795428144,1886.130439116392,1897.5371063785003,1900.7761185637464,1886.7355364433392,1870.381528394509,1885.715477232804,1889.78598126286,1903.087220774496,1901.7425448407648,1927.7579568912704,1944.263559811716,1975.4938531596697,1979.6731628533232,1992.2548895911425,1987.966865489004,2068.05675629612,2067.524854153596,2064.406868929,1995.4381744533707,1996.0897317258773,2032.6218708827407
395044,533,"Rutland, VT",msa,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950.0
394382,736,"Bennington, VT",msa,VT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0
